//-t 1000 --solver basic TabooSolver20-2 TabooSolver200-2 TabooSolver200-20 TabooSolver2000-2 TabooSolver2000-20 TabooSolver2000-200 --instance ft06 ft10 ft20 la01 la02 la03 la04 la05 la06 la07 la08 la09 la10 la11 la12 la13 la14 la15 la16 la17 la18 la19 la20 la21 la22 la23 la24 la25 la26 la27 la28 la29 la30 la31 la32 la33 la34 la35 la36 la37 la38 la39 la40
                          basic                         TabooSolver20-2               TabooSolver200-2              TabooSolver200-20             TabooSolver2000-2             TabooSolver2000-20            TabooSolver2000-200
 instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart
 ft06     6x6     55            2       60   9.1             82       68  23.6            157       68  23.6             97       68  23.6            518       68  23.6            512       68  23.6            527       68  23.6
 ft10     10x10  930            0     1319  41.8             95     1017   9.4            214     1017   9.4            293     1017   9.4           1000     1017   9.4           1000     1017   9.4           1001     1017   9.4
 ft20     20x5  1165            0     1672  43.5             13     1267   8.8            121     1267   8.8            122     1267   8.8           1000     1267   8.8           1000     1267   8.8           1000     1267   8.8
 la01     10x5   666            0      858  28.8             10      666   0.0             50      666   0.0             59      666   0.0            399      666   0.0            492      666   0.0            595      666   0.0
 la02     10x5   655            0      904  38.0             16      688   5.0            110      688   5.0            128      688   5.0           1000      688   5.0           1000      688   5.0           1000      688   5.0
 la03     10x5   597            0      775  29.8             34      651   9.0            190      651   9.0            155      651   9.0           1000      651   9.0           1000      651   9.0           1000      651   9.0
 la04     10x5   590            0      854  44.7             11      664  12.5             80      664  12.5             89      605   2.5            823      664  12.5            599      605   2.5            844      605   2.5
 la05     10x5   593            0      629   6.1              9      593   0.0             51      593   0.0             50      593   0.0            470      593   0.0            456      593   0.0            464      593   0.0
 la06     15x5   926            0     1015   9.6             31      963   4.0            146      963   4.0            165      963   4.0           1000      963   4.0           1000      963   4.0           1000      963   4.0
 la07     15x5   890            0     1096  23.1             14     1034  16.2            139     1034  16.2            135     1034  16.2           1000     1034  16.2           1000     1034  16.2           1000     1034  16.2
 la08     15x5   863            1     1102  27.7             10      933   8.1             93      933   8.1             96      933   8.1            893      933   8.1            869      933   8.1            914      933   8.1
 la09     15x5   951            0     1024   7.7             11      975   2.5             96      975   2.5             93      975   2.5            884      975   2.5            889      975   2.5            908      975   2.5
 la10     15x5   958            0      958   0.0             17     1049   9.5            168     1049   9.5            172     1049   9.5           1000     1049   9.5           1000     1049   9.5           1000     1049   9.5
 la11     20x5  1222            0     1297   6.1             33     1390  13.7            194     1390  13.7            194     1390  13.7           1000     1390  13.7           1000     1390  13.7           1000     1390  13.7
 la12     20x5  1039            0     1205  16.0             36     1044   0.5            138     1044   0.5            181     1044   0.5           1000     1044   0.5           1000     1044   0.5           1000     1050   1.1
 la13     20x5  1150            0     1154   0.3             18     1233   7.2            139     1233   7.2            149     1233   7.2           1000     1233   7.2           1000     1233   7.2           1000     1233   7.2
 la14     20x5  1292            0     1292   0.0             27     1427  10.4            237     1427  10.4            251     1427  10.4           1000     1427  10.4           1000     1427  10.4           1000     1427  10.4
 la15     20x5  1207            0     1586  31.4             52     1345  11.4            474     1345  11.4            483     1345  11.4           1001     1345  11.4           1001     1345  11.4           1000     1345  11.4
 la16     10x10  945            0     1327  40.4             22     1067  12.9            131     1044  10.5            206     1044  10.5           1000     1044  10.5           1000     1044  10.5           1000     1074  13.7
 la17     10x10  784            0      912  16.3             21      899  14.7            143      899  14.7            168      899  14.7           1000      899  14.7           1000      899  14.7           1000      899  14.7
 la18     10x10  848            0     1024  20.8             29      981  15.7            178      981  15.7            188      981  15.7           1000      981  15.7           1000      981  15.7           1000      981  15.7
 la19     10x10  842            0     1058  25.7             24      909   8.0            205      875   3.9            259      900   6.9           1000      875   3.9           1000      893   6.1           1000      902   7.1
 la20     10x10  902            0     1259  39.6             24      950   5.3            230      950   5.3            239      950   5.3           1000      950   5.3           1000      950   5.3           1000      950   5.3
 la21     15x10 1046            0     1555  48.7             56     1257  20.2            397     1257  20.2            402     1257  20.2           1001     1257  20.2           1001     1257  20.2           1002     1257  20.2
 la22     15x10  927            0     1360  46.7             48     1169  26.1            442     1169  26.1            441     1169  26.1           1001     1169  26.1           1001     1169  26.1           1001     1169  26.1
 la23     15x10 1032            0     1436  39.1             66     1141  10.6            637     1141  10.6            731     1141  10.6           1001     1141  10.6           1004     1141  10.6           1001     1141  10.6
 la24     15x10  935            0     1245  33.2             66     1148  22.8            593     1077  15.2            707     1147  22.7           1000     1077  15.2           1001     1147  22.7           1001     1149  22.9
 la25     15x10  977            0     1440  47.4             83     1267  29.7            671     1267  29.7            667     1267  29.7           1001     1267  29.7           1000     1267  29.7           1003     1286  31.6
 la26     20x10 1218            0     1759  44.4            102     1426  17.1           1001     1426  17.1            987     1426  17.1           1003     1426  17.1           1002     1426  17.1           1003     1460  19.9
 la27     20x10 1235            0     1791  45.0            131     1705  38.1           1000     1705  38.1           1004     1705  38.1           1001     1705  38.1           1001     1705  38.1           1005     1739  40.8
 la28     20x10 1216            0     1642  35.0             89     1541  26.7            964     1541  26.7            912     1541  26.7           1000     1541  26.7           1002     1541  26.7           1002     1541  26.7
 la29     20x10 1152            0     1686  46.4            179     1647  43.0           1003     1647  43.0           1003     1647  43.0           1005     1647  43.0           1000     1647  43.0           1001     1647  43.0
 la30     20x10 1355            0     1774  30.9            152     1624  19.9            952     1565  15.5           1010     1614  19.1           1002     1565  15.5           1003     1614  19.1           1002     1668  23.1
 la31     30x10 1784            0     2215  24.2            238     1827   2.4           1013     1827   2.4           1008     1827   2.4           1007     1827   2.4           1009     1827   2.4           1003     1898   6.4
 la32     30x10 1850            0     2421  30.9            101     2183  18.0            787     2183  18.0            960     2164  17.0           1002     2183  18.0           1001     2164  17.0           1003     2188  18.3
 la33     30x10 1719            0     2139  24.4            100     1917  11.5           1003     1917  11.5            811     1895  10.2           1002     1917  11.5           1004     1895  10.2           1001     1917  11.5
 la34     30x10 1721            0     2284  32.7            176     1959  13.8           1007     1959  13.8           1006     1956  13.7           1004     1959  13.8           1000     1956  13.7           1002     2046  18.9
 la35     30x10 1888            0     2498  32.3            144     2068   9.5           1000     2068   9.5           1005     2068   9.5           1006     2068   9.5           1005     2068   9.5           1007     2068   9.5
 la36     15x15 1268            0     1677  32.3             62     1694  33.6            478     1694  33.6            383     1665  31.3           1001     1694  33.6           1001     1665  31.3           1001     1721  35.7
 la37     15x15 1397            1     2098  50.2             78     1605  14.9            576     1605  14.9            561     1605  14.9           1000     1605  14.9           1000     1605  14.9           1002     1605  14.9
 la38     15x15 1196            0     1766  47.7            111     1372  14.7            809     1372  14.7            819     1372  14.7           1001     1372  14.7           1002     1372  14.7           1003     1372  14.7
 la39     15x15 1233            0     1794  45.5             92     1599  29.7            817     1599  29.7            806     1599  29.7           1001     1599  29.7           1002     1599  29.7           1000     1599  29.7
 la40     15x15 1222            0     1728  41.4             75     1368  11.9            731     1313   7.4            811     1329   8.8           1000     1313   7.4           1002     1326   8.5           1002     1390  13.7
 AVG      -        -          0.1        -  29.9           64.8        -  14.5          455.0        -  13.9          465.3        -  14.0          954.1        -  13.9          950.2        -  13.9          960.4        -  14.8

//-t 10000 --solver basic TabooSolver20-2 TabooSolver200-2 TabooSolver200-20 TabooSolver2000-2 TabooSolver2000-20 TabooSolver2000-200 --instance ft06 ft10 ft20 la01 la02 la03 la04 la05 la06 la07 la08 la09 la10 la11 la12 la13 la14 la15 la16 la17 la18 la19 la20 la21 la22 la23 la24 la25 la26 la27 la28 la29 la30 la31 la32 la33 la34 la35 la36 la37 la38 la39 la40
                         basic                         TabooSolver20-2               TabooSolver200-2              TabooSolver200-20             TabooSolver2000-2             TabooSolver2000-20            TabooSolver2000-200
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart
